run_id	omp	taskset	routine	key	size	iters	subject_ns	migrated_ns
par-omp1	1	0	mtrsv	LTN	512	162	312983.0	1855712.9
par-omp1	1	0	mtrsv	LTN	1024	42	1280339.8	7179284.6
par-omp1	1	0	mtrsv	LTN/x2	128	200	24665.2	156610.9
par-omp1	1	0	mtrsv	LTN/x2	256	200	67131.2	529421.4
par-omp1	1	0	mtrsv	LTN/x2	512	162	214110.2	1854720.0
par-omp1	1	0	mtrsv	LTN/x2	1024	42	928066.2	7163676.7
par-omp1	1	0	mtrsv	LTN/x-1	128	200	26458.8	162839.2
par-omp1	1	0	mtrsv	LTN/x-1	256	200	67315.3	536666.2
par-omp1	1	0	mtrsv	LTN/x-1	512	162	216869.5	1859193.7
par-omp1	1	0	mtrsv	LTN/x-1	1024	43	863524.7	7140953.9
par-omp1	1	0	mtrsv	LTU	128	200	21702.1	151043.2
par-omp1	1	0	mtrsv	LTU	256	200	80727.0	508416.0
par-omp1	1	0	mtrsv	LTU	512	167	311632.8	1805295.4
par-omp1	1	0	mtrsv	LTU	1024	43	1288419.8	7055959.9
par-omp1	1	0	mtrsv	LTU/x2	128	200	22290.9	151237.3
par-omp1	1	0	mtrsv	LTU/x2	256	200	63917.9	502960.9
par-omp1	1	0	mtrsv	LTU/x2	512	167	208112.9	1804317.5
par-omp1	1	0	mtrsv	LTU/x2	1024	44	885029.4	6974938.2
par-omp1	1	0	mtrsv	LTU/x-1	128	200	23543.5	152944.2
par-omp1	1	0	mtrsv	LTU/x-1	256	200	64045.7	513896.8
par-omp1	1	0	mtrsv	LTU/x-1	512	166	210232.6	1808195.8
par-omp1	1	0	mtrsv	LTU/x-1	1024	44	873397.5	6969258.1
par-omp4	4	0-3	mtrsv	UNN	128	200	14224.8	152457.9
par-omp4	4	0-3	mtrsv	UNN	256	200	55704.4	513424.3
par-omp4	4	0-3	mtrsv	UNN	512	159	209917.2	1898143.2
par-omp4	4	0-3	mtrsv	UNN	1024	43	920138.0	7050463.2
par-omp4	4	0-3	mtrsv	UNN/x2	128	200	39140.9	151711.8
par-omp4	4	0-3	mtrsv	UNN/x2	256	200	118385.7	511042.9
par-omp4	4	0-3	mtrsv	UNN/x2	512	159	406685.3	1886448.1
par-omp4	4	0-3	mtrsv	UNN/x2	1024	44	1445914.7	6965762.3
par-omp4	4	0-3	mtrsv	UNN/x-1	128	200	40051.7	153947.0
par-omp4	4	0-3	mtrsv	UNN/x-1	256	200	119956.2	516098.2
par-omp4	4	0-3	mtrsv	UNN/x-1	512	158	411740.2	1902938.9
par-omp4	4	0-3	mtrsv	UNN/x-1	1024	44	1439151.2	6955196.2
par-omp4	4	0-3	mtrsv	UNU	128	200	13270.8	149407.2
par-omp4	4	0-3	mtrsv	UNU	256	200	51385.3	495383.4
par-omp4	4	0-3	mtrsv	UNU	512	162	203588.8	1854703.7
par-omp4	4	0-3	mtrsv	UNU	1024	44	868631.1	6866623.9
par-omp4	4	0-3	mtrsv	UNU/x2	128	200	37245.7	146820.8
par-omp4	4	0-3	mtrsv	UNU/x2	256	200	111689.2	492007.0
par-omp4	4	0-3	mtrsv	UNU/x2	512	164	386311.2	1837917.6
par-omp4	4	0-3	mtrsv	UNU/x2	1024	44	1391798.0	6834366.2
par-omp4	4	0-3	mtrsv	UNU/x-1	128	200	37728.6	148461.2
par-omp4	4	0-3	mtrsv	UNU/x-1	256	200	113320.0	500188.2
par-omp4	4	0-3	mtrsv	UNU/x-1	512	162	393055.9	1853468.3
par-omp4	4	0-3	mtrsv	UNU/x-1	1024	44	1384095.8	6878350.3
par-omp4	4	0-3	mtrsv	UTN	128	200	21396.6	168665.5
par-omp4	4	0-3	mtrsv	UTN	256	200	80356.9	524585.2
par-omp4	4	0-3	mtrsv	UTN	512	160	308256.2	1882233.8
par-omp4	4	0-3	mtrsv	UTN	1024	43	1251382.9	7025164.3
par-omp4	4	0-3	mtrsv	UTN/x2	128	200	59532.6	159628.6
par-omp4	4	0-3	mtrsv	UTN/x2	256	200	150170.5	525788.8
par-omp4	4	0-3	mtrsv	UTN/x2	512	161	426429.4	1870745.8
par-omp4	4	0-3	mtrsv	UTN/x2	1024	43	1263551.2	6981127.1
par-omp4	4	0-3	mtrsv	UTN/x-1	128	200	59560.1	173161.5
par-omp4	4	0-3	mtrsv	UTN/x-1	256	200	148146.2	516119.1
par-omp4	4	0-3	mtrsv	UTN/x-1	512	162	416965.6	1856496.4
par-omp4	4	0-3	mtrsv	UTN/x-1	1024	43	1300870.5	6991015.3
par-omp4	4	0-3	mtrsv	UTU	128	200	20560.5	151054.8
par-omp4	4	0-3	mtrsv	UTU	256	200	78891.6	503764.6
par-omp4	4	0-3	mtrsv	UTU	512	164	305302.7	1833108.7
par-omp4	4	0-3	mtrsv	UTU	1024	44	1278378.2	6908820.2
par-omp4	4	0-3	mtrsv	UTU/x2	128	200	54573.7	151178.8
par-omp4	4	0-3	mtrsv	UTU/x2	256	200	136780.9	502433.7
par-omp4	4	0-3	mtrsv	UTU/x2	512	164	391392.0	1829561.7
par-omp4	4	0-3	mtrsv	UTU/x2	1024	44	1223983.3	6831490.4
par-omp4	4	0-3	mtrsv	UTU/x-1	128	200	52633.9	148897.7
par-omp4	4	0-3	mtrsv	UTU/x-1	256	200	133117.9	498367.6
par-omp4	4	0-3	mtrsv	UTU/x-1	512	165	380337.9	1822721.0
par-omp4	4	0-3	mtrsv	UTU/x-1	1024	44	1220771.7	6828867.5
par-omp4	4	0-3	mtrsv	LNN	128	200	13547.7	149029.8
par-omp4	4	0-3	mtrsv	LNN	256	200	53362.7	509270.1
par-omp4	4	0-3	mtrsv	LNN	512	164	203720.8	1832438.6
par-omp4	4	0-3	mtrsv	LNN	1024	44	896790.2	6860603.9
par-omp4	4	0-3	mtrsv	LNN/x2	128	200	36676.7	149253.4
par-omp4	4	0-3	mtrsv	LNN/x2	256	200	114871.8	511335.1
par-omp4	4	0-3	mtrsv	LNN/x2	512	163	385586.5	1848321.6
par-omp4	4	0-3	mtrsv	LNN/x2	1024	44	1408613.3	6899150.6
par-omp4	4	0-3	mtrsv	LNN/x-1	128	200	36914.6	149558.9
par-omp4	4	0-3	mtrsv	LNN/x-1	256	200	114955.4	514971.7
par-omp4	4	0-3	mtrsv	LNN/x-1	512	163	381926.2	1842408.7
par-omp4	4	0-3	mtrsv	LNN/x-1	1024	44	1413191.9	6972552.7
par-omp4	4	0-3	mtrsv	LNU	128	200	12907.0	144304.5
par-omp4	4	0-3	mtrsv	LNU	256	200	53218.7	493379.8
par-omp4	4	0-3	mtrsv	LNU	512	169	202230.3	1782670.5
par-omp4	4	0-3	mtrsv	LNU	1024	45	885066.9	6814797.2
par-omp4	4	0-3	mtrsv	LNU/x2	128	200	34983.7	144601.0
par-omp4	4	0-3	mtrsv	LNU/x2	256	200	108135.3	499136.9
par-omp4	4	0-3	mtrsv	LNU/x2	512	166	369366.3	1807446.7
par-omp4	4	0-3	mtrsv	LNU/x2	1024	44	1378311.2	6888492.6
par-omp4	4	0-3	mtrsv	LNU/x-1	128	200	35087.8	144668.8
par-omp4	4	0-3	mtrsv	LNU/x-1	256	200	109148.4	492432.8
par-omp4	4	0-3	mtrsv	LNU/x-1	512	168	365174.8	1790048.9
par-omp4	4	0-3	mtrsv	LNU/x-1	1024	44	1407197.7	6878451.1
par-omp4	4	0-3	mtrsv	LTN	128	200	22815.4	157245.9
par-omp4	4	0-3	mtrsv	LTN	256	200	82542.0	530727.9
par-omp4	4	0-3	mtrsv	LTN	512	162	312498.8	1857984.3
par-omp4	4	0-3	mtrsv	LTN	1024	42	1315693.6	7197719.5
par-omp4	4	0-3	mtrsv	LTN/x2	128	200	24602.7	157434.3
par-omp4	4	0-3	mtrsv	LTN/x2	256	200	68298.3	529578.8
par-omp4	4	0-3	mtrsv	LTN/x2	512	161	214143.4	1863851.2
par-omp4	4	0-3	mtrsv	LTN/x2	1024	43	897834.4	7099106.8
par-omp4	4	0-3	mtrsv	LTN/x-1	128	200	25648.6	159816.6
par-omp4	4	0-3	mtrsv	LTN/x-1	256	200	67283.2	536014.2
par-omp4	4	0-3	mtrsv	LTN/x-1	512	161	214404.9	1869156.4
par-omp4	4	0-3	mtrsv	LTN/x-1	1024	43	880570.7	7099514.1
par-omp4	4	0-3	mtrsv	LTU	128	200	21653.3	150892.1
par-omp4	4	0-3	mtrsv	LTU	256	200	80786.2	503174.4
par-omp4	4	0-3	mtrsv	LTU	512	166	310792.3	1811660.8
par-omp4	4	0-3	mtrsv	LTU	1024	43	1288649.0	7020325.4
par-omp4	4	0-3	mtrsv	LTU/x2	128	200	22289.9	151020.4
par-omp4	4	0-3	mtrsv	LTU/x2	256	200	62648.8	500872.7
par-omp4	4	0-3	mtrsv	LTU/x2	512	165	208255.7	1818638.5
par-omp4	4	0-3	mtrsv	LTU/x2	1024	43	884769.0	7039519.5
par-omp4	4	0-3	mtrsv	LTU/x-1	128	200	22523.2	153626.9
par-omp4	4	0-3	mtrsv	LTU/x-1	256	200	63301.9	510354.9
par-omp4	4	0-3	mtrsv	LTU/x-1	512	166	207786.8	1815224.4
par-omp4	4	0-3	mtrsv	LTU/x-1	1024	44	880703.3	6964374.7
par-omp1	1	0	wtrsv	UNN	128	200	48811.5	341810.2
par-omp1	1	0	wtrsv	UNN	256	200	183058.4	1150265.8
par-omp1	1	0	wtrsv	UNN	512	75	650667.2	4032941.3
par-omp1	1	0	wtrsv	UNN/x2	128	200	122729.3	347890.0
par-omp1	1	0	wtrsv	UNN/x2	256	200	348007.9	1161115.4
par-omp1	1	0	wtrsv	UNN/x2	512	73	1143821.0	4122915.9
par-omp1	1	0	wtrsv	UNN/x-1	128	200	122702.9	350747.4
par-omp1	1	0	wtrsv	UNN/x-1	256	200	347237.0	1160391.3
par-omp1	1	0	wtrsv	UNN/x-1	512	73	1138034.1	4129752.0
par-omp1	1	0	wtrsv	UNU	128	200	42383.1	305546.3
par-omp1	1	0	wtrsv	UNU	256	200	162394.6	1040986.0
par-omp1	1	0	wtrsv	UNU	512	77	633122.2	3910915.8
par-omp1	1	0	wtrsv	UNU/x2	128	200	109676.6	312878.8
par-omp1	1	0	wtrsv	UNU/x2	256	200	312242.3	1069292.2
par-omp1	1	0	wtrsv	UNU/x2	512	76	1060268.2	3985489.7
par-omp1	1	0	wtrsv	UNU/x-1	128	200	109996.2	325630.5
par-omp1	1	0	wtrsv	UNU/x-1	256	200	311107.8	1082199.8
par-omp1	1	0	wtrsv	UNU/x-1	512	76	1064899.9	3955286.5
par-omp1	1	0	wtrsv	UTN	128	200	48101.8	348941.7
par-omp1	1	0	wtrsv	UTN	256	200	167986.2	1186213.0
par-omp1	1	0	wtrsv	UTN	512	75	629348.6	4050404.8
par-omp1	1	0	wtrsv	UTN/x2	128	200	126027.0	348334.5
par-omp1	1	0	wtrsv	UTN/x2	256	200	363461.8	1187559.3
par-omp1	1	0	wtrsv	UTN/x2	512	73	1037437.9	4132161.1
